checked_at,origin,dest,option,hub,price_rub,price_eur,eur_rate,depart_month,detail,link1,link2
2026-07-06 14:06,MOW,VCE,Через Турцию,IST,15422,175,88.0304,2026-09,Стамбул IST: 9 264 ₽ + 6 158 ₽,,
2026-07-06 14:06,MOW,VCE,Через Белград,BEG,26527,301,88.0304,2026-09,Белград: 20 838 ₽ + 5 689 ₽,,
2026-07-06 14:06,MOW,TSF,Любой маршрут (мин.),,17840,203,88.0304,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-06 14:06,MOW,TSF,Через Ереван,EVN,16009,182,88.0304,2026-09,Ереван: 9 385 ₽ + 6 624 ₽,,
2026-07-06 14:06,MOW,TSF,Через Турцию,IST,16560,188,88.0304,2026-09,Стамбул IST: 9 264 ₽ + 7 296 ₽,,
2026-07-06 14:06,MOW,TSF,Через Белград,BEG,26527,301,88.0304,2026-09,Белград: 20 838 ₽ + 5 689 ₽,,
2026-07-06 14:06,LED,VCE,Любой маршрут (мин.),,23640,269,88.0304,2026-09,вылет 2026-09-26 · 2 перес. · 37 ч 45 мин · a/к U6,,
2026-07-06 14:06,LED,VCE,Через Ереван,EVN,19125,217,88.0304,2026-09,Ереван: 12 501 ₽ + 6 624 ₽,,
2026-07-06 14:06,LED,VCE,Через Турцию,IST,20902,237,88.0304,2026-09,Стамбул IST: 14 744 ₽ + 6 158 ₽,,
2026-07-06 14:06,LED,VCE,Через Белград,BEG,30036,341,88.0304,2026-09,Белград: 24 347 ₽ + 5 689 ₽,,
2026-07-06 14:06,LED,TSF,Любой маршрут (мин.),,24005,273,88.0304,2026-09,вылет 2026-09-26 · 2 перес. · 27 ч 5 мин · a/к VF,,
2026-07-06 14:06,LED,TSF,Через Ереван,EVN,19125,217,88.0304,2026-09,Ереван: 12 501 ₽ + 6 624 ₽,,
2026-07-06 14:06,LED,TSF,Через Турцию,IST,22040,250,88.0304,2026-09,Стамбул IST: 14 744 ₽ + 7 296 ₽,,
2026-07-06 14:06,LED,TSF,Через Белград,BEG,30036,341,88.0304,2026-09,Белград: 24 347 ₽ + 5 689 ₽,,
2026-07-06 21:15,MOW,VCE,Любой маршрут (мин.),,17664,198,89.2595,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-06 21:15,MOW,VCE,Через Ереван,EVN,15857,178,89.2595,2026-09,Ереван: 9 387 ₽ + 6 470 ₽,,
2026-07-06 21:15,MOW,VCE,Через Турцию,IST,15423,173,89.2595,2026-09,Стамбул IST: 9 265 ₽ + 6 158 ₽,,
2026-07-06 21:15,MOW,VCE,Через Белград,BEG,26414,296,89.2595,2026-09,Белград: 20 852 ₽ + 5 562 ₽,,
2026-07-06 21:15,MOW,TSF,Любой маршрут (мин.),,17664,198,89.2595,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-06 21:15,MOW,TSF,Через Ереван,EVN,15857,178,89.2595,2026-09,Ереван: 9 387 ₽ + 6 470 ₽,,
2026-07-06 21:15,MOW,TSF,Через Турцию,IST,16497,185,89.2595,2026-09,Стамбул IST: 9 265 ₽ + 7 232 ₽,,
2026-07-06 21:15,MOW,TSF,Через Белград,BEG,26541,297,89.2595,2026-09,Белград: 20 852 ₽ + 5 689 ₽,,
2026-07-06 21:15,LED,VCE,Любой маршрут (мин.),,23640,265,89.2595,2026-09,вылет 2026-09-26 · 2 перес. · 37 ч 45 мин · a/к U6,,
2026-07-06 21:15,LED,VCE,Через Ереван,EVN,18971,213,89.2595,2026-09,Ереван: 12 501 ₽ + 6 470 ₽,,
2026-07-06 21:15,LED,VCE,Через Турцию,IST,20654,231,89.2595,2026-09,Стамбул IST: 14 496 ₽ + 6 158 ₽,,
2026-07-06 21:15,LED,VCE,Через Белград,BEG,29938,335,89.2595,2026-09,Белград: 24 376 ₽ + 5 562 ₽,,
2026-07-06 21:15,LED,TSF,Любой маршрут (мин.),,24005,269,89.2595,2026-09,вылет 2026-09-26 · 2 перес. · 27 ч 5 мин · a/к VF,,
2026-07-06 21:15,LED,TSF,Через Ереван,EVN,18971,213,89.2595,2026-09,Ереван: 12 501 ₽ + 6 470 ₽,,
2026-07-06 21:15,LED,TSF,Через Турцию,IST,21728,243,89.2595,2026-09,Стамбул IST: 14 496 ₽ + 7 232 ₽,,
